Sequential,"CUDA (16, 16)","CUDA (32, 32)"
121.97873663902283,22.87266731262207,24.355377674102783
122.01024174690247,22.899987936019897,25.537369966506958
121.36918425559998,23.956637144088745,24.742703437805176
121.98393511772156,22.930200815200806,24.6208016872406
137.0927917957306,22.948381423950195,24.705753087997437
121.80601263046265,22.989794969558716,24.845019578933716
125.00607681274414,22.93723964691162,24.69041347503662
124.77498126029968,24.06200408935547,25.903703927993774
125.64824485778809,22.80816149711609,25.078185081481934
124.33576965332031,22.957316875457764,25.104356050491333
121.91557288169861,23.137306213378906,24.96500325202942
122.28804206848145,24.435081720352173,24.830871105194092
122.81427431106567,23.499797821044922,25.18142557144165
124.14385938644409,23.55005192756653,26.16594696044922
124.42906141281128,23.788529634475708,25.070000171661377
