Num Threads,Time,Speedup,Efficiency
1,7.9856332540512085,1.0,1.0
2,4.566105484962463,1.7488937301931071,0.8744468650965536
4,3.698004674911499,2.159443796333849,0.5398609490834623
8,3.54702410697937,2.2513614267064392,0.2814201783383049
16,2.9229898929595945,2.7320085072088878,0.17075053170055549
